"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-29","4.70","0.03","0.0","0.0",,"71","46","  360","   10",,"13.0","15.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-30","6.71","0.00","0.0","0.0",,"67","50","   30","   30",,"14.1","16.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-01","6.26","0.15","0.0","0.0",,"84","60","  260","  260",,"17.0","21.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-02","6.49","0.02","0.0","0.0",,"74","58","   90","  140",,"14.1","25.1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-03","6.49","0.00","0.0","0.0",,"81","56","   20","  300",,"15.0","17.0","    1",,,,,,,,,"    1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-04","5.14","0.12","0.0","0.0",,"84","65","  270","  270",,"28.0","36.9",,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-05","7.16","0.00","0.0","0.0",,"83","64","   70","   90",,"17.0","21.0",,,"    1",,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-06","6.26","0.00","0.0","0.0",,"72","61","  130","   40",,"14.1","23.9","    1",,,,,,,,,"    1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-07","9.84","0.00","0.0","0.0",,"73","57","  160","  170",,"19.9","23.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05-08","12.30","0.03","0.0","0.0",,"75","61","  190","  200",,"21.0","25.1",,,,,,,,,,,,,"    1",,,,
